Year,Country Code,"Net trade in goods and services (BoP, current US$)",GDP (current US$),Consumer price index (2010 = 100),"Unemployment, total (% of total labor force) (national estimate)","Exports of goods and services (BoP, current US$)","Imports of goods and services (BoP, current US$)","Foreign direct investment, net (BoP, current US$)","Official exchange rate (LCU per US$, period average)"
1983 [YR1983],USA,-57135000000,3634038000000,45.6764447583299,9.6,266018000000,323153000000,-2730000000,1
1984 [YR1984],USA,-108277000000,4037613000000,47.6407764689877,7.5,291047000000,399324000000,-12410000000,1
1985 [YR1985],USA,-121102000000,4338979000000,49.3299488738723,7.2,289010000000,410112000000,-5950000000,1
1986 [YR1986],USA,-138527000000,4579631000000,50.2662548449057,7,310041000000,448568000000,-11422000000,1
1987 [YR1987],USA,-151675000000,4855215000000,52.1082935307754,6.2,348872000000,500547000000,-23438000000,1
1988 [YR1988],USA,-114660000000,5236438000000,54.2331348364674,5.5,431143000000,545803000000,-35209000000,1
1989 [YR1989],USA,-93126000000,5641580000000,56.8509698983363,5.3,487063000000,580189000000,-24800000000,1
1990 [YR1990],USA,-80852000000,5963144000000,59.919760489111,5.6,535258000000,616110000000,-11290000000,1
1991 [YR1991],USA,-31180000000,6158129000000,62.4573407534626,6.8,578337000000,609517000000,14720000000,1
1992 [YR1992],USA,-39207100000,6520327000000,64.3490609806525,7.5,616872900000,656080000000,28460000000,1
1993 [YR1993],USA,-70311000000,6858559000000,66.2484245218916,6.9,642854000000,713165000000,32570000000,1
1994 [YR1994],USA,-98511000000,7287236000000,67.9758134970226,6.119,703254000000,801765000000,34050000000,1
1995 [YR1995],USA,-96387000000,7639749000000,69.8828203523109,5.65,794397000000,890784000000,40980000000,1
1996 [YR1996],USA,-104035000000,8073122000000,71.9312285175105,5.451,851628000000,955663000000,5360000000,1
1997 [YR1997],USA,-108288000000,8577552000000,73.6127576083459,5,934459000000,1042747000000,-770000000,1
1998 [YR1998],USA,-166130000000,9062817000000,74.755433058709,4.511,933183000000,1099313000000,-36390000000,1
1999 [YR1999],USA,-255813000000,9631172000000,76.391102265249,4.219,976521000000,1232334000000,-64964000000,1
2000 [YR2000],USA,-369689000000,10250952000000,78.9707207568715,3.992,1082962000000,1452651000000,-162755000000,1
2001 [YR2001],USA,-360373000000,10581929000000,81.2025684592531,4.731,1015364000000,1375737000000,-26455000000,1
2002 [YR2002],USA,-420666000000,10929108000000,82.490466876552,5.783,986095000000,1406761000000,67930000000,1
2003 [YR2003],USA,-496251000000,11456450000000,84.3630788186188,5.989,1028180000000,1524431000000,78112000000,1
2004 [YR2004],USA,-610833000000,12217196000000,86.6216781201727,5.529,1168121000000,1778954000000,160363000000,1
2005 [YR2005],USA,-716537000000,13039197000000,89.5605323721102,5.084,1291506000000,2008043000000,-89753000000,1
2006 [YR2006],USA,-763533000000,13815583000000,92.4497050827274,4.623,1463991000000,2227524000000,-14662000000,1
2007 [YR2007],USA,-711000000000,14474228000000,95.0869923788515,4.622,1660811000000,2371811000000,177277000000,1
2008 [YR2008],USA,-712352000000,14769862000000,98.7374773853445,5.784,1849584000000,2561936000000,2491000000,1
2009 [YR2009],USA,-394779000000,14478067000000,98.3864199710624,9.254,1592788000000,1987567000000,151514000000,1
2010 [YR2010],USA,-503078000000,15048971000000,100,9.633,1872324000000,2375402000000,85789000000,1
2011 [YR2011],USA,-554517000000,15599732000000,103.156841568622,8.949,2143556000000,2698073000000,173119000000,1
2012 [YR2012],USA,-525907000000,16253970000000,105.291504532867,8.069,2247453000000,2773360000000,126895000000,1
2013 [YR2013],USA,-446857000000,16880683000000,106.833848874866,7.375,2313124000000,2759981000000,104665000000,1
2014 [YR2014],USA,-483951000000,17608138000000,108.566932118964,6.168,2392613000000,2876564000000,135673000000,1
2015 [YR2015],USA,-490773000000,18295019000000,108.695721960694,5.28,2280786000000,2771559000000,-209363000000,1
2016 [YR2016],USA,-479461000000,18804913000000,110.06700893427,4.869,2240824000000,2720285000000,-174573000000,1
2017 [YR2017],USA,-516935000000,19612102000000,112.411557302308,4.355,2394477000000,2911412000000,28590000000,1
2018 [YR2018],USA,-578600000000,20656516000000,115.157303224791,3.896,2542459000000,3121059000000,-345435000000,1
2019 [YR2019],USA,-559394000000,21521395000000,117.244195476228,3.669,2546280000000,3105674000000,-201057000000,1
2020 [YR2020],USA,-652885000000,21322950000000,118.690501577198,8.055,2160145000000,2813030000000,148299000000,1
2021 [YR2021],USA,-841580000000,23594031000000,124.266413825838,5.349,2567024000000,3408604000000,-99015000000,1
2022 [YR2022],USA,-951187000000,25744108000000,134.21120616846,3.65,3018457000000,3969644000000,38173000000,1
2023 [YR2023],USA,-779790000000,27360935000000,139.73579356326,3.638,3051824000000,3831614000000,100179000000,1
1983 [YR1983],UK,3423207216.6092,489618008185.539,42.7975300536342,11.088,121032829158.069,117609621941.46,3005286141.90044,0.659724582333333
1984 [YR1984],UK,-1513312661.84174,461487097632.349,44.9205918254115,10.901,121915855956.927,123429168618.769,8324649802.81077,0.75180666625
1985 [YR1985],UK,4394278996.3691,489285164271.047,47.6478980950619,11.48,132167965057.85,127773686061.481,5130017496.95262,0.77924599975
1986 [YR1986],UK,-4959748573.50264,601452653180.885,49.2810819308304,11.508,143500226783.008,148459975356.511,8448719923.60631,0.682197333333333
1987 [YR1987],UK,-8092381167.5845,745162608269.325,51.325715738857,11.017,174723938754.525,182816319922.109,15850160395.7082,0.6119265
1988 [YR1988],UK,-30349025915.158,910122732123.799,53.4584797484742,9.004,191399431602.392,221748457517.549,15205149253.0296,0.562170166666667
1989 [YR1989],UK,-34627367841.3538,926884816753.927,56.5378213427039,7.405,198823599319.614,233450967160.968,4270004425.58102,0.61117275
1990 [YR1990],UK,-24863350099.978,1093169389204.55,61.0967264656926,6.969,239226146127.677,264089496227.655,-13379913178.091,0.563177166666667
1991 [YR1991],UK,-10890061878.6001,1142797178130.51,65.6556315886813,8.55,239783075392.638,250673137271.239,302418661.365093,0.567015333333333
1992 [YR1992],UK,-13628007847.2966,1179659529659.53,68.6702422785278,9.772,253593269083.67,267221276930.967,3139617820.2475,0.569774166666667
1993 [YR1993],UK,-9577637335.35284,1061388722255.55,70.4272239689291,10.346,245689726109.843,255267363445.196,10735545430.3215,0.666756553333333
1994 [YR1994],UK,-6980831142.06146,1140489745944.29,71.9900129461809,9.648,277113222738.51,284094053880.571,24171411205.4612,0.653426604166667
1995 [YR1995],UK,-4886522252.2228,1344240176739.78,73.9319400776771,8.694,322113920529.837,327000442782.06,27379619676.3163,0.63366812
1996 [YR1996],UK,-3662771031.52322,1419645865834.63,76.0403181061587,8.189,351830680358.616,355493451390.14,9301532237.31374,0.640958255
1997 [YR1997],UK,2898078057.98994,1560911918795.02,77.7140743480673,7.072,383179008313.104,380280930255.114,23386816482.3935,0.610836114166667
1998 [YR1998],UK,-11830609610.175,1653694932096.72,79.1289069724431,6.198,384318772481.818,396149382091.993,48157120557.6836,0.603823594166667
1999 [YR1999],UK,-17190105957.2594,1687830448147.55,80.5159977806547,6.042,410272068856.952,427462174814.211,112454145411.852,0.618056845
2000 [YR2000],UK,-19772180734.9836,1665534876683.31,81.4684668022933,5.558,427407928552.41,447180109287.394,127916379256.163,0.660930833333333
2001 [YR2001],UK,-28424683613.5515,1649827263567.01,82.7168485296837,4.696,421575093554.789,449999777168.34,21321018557.6055,0.694655
2002 [YR2002],UK,-42325996544.2745,1785729916067.15,83.9744775291289,5.037,438536461303.203,480862457847.477,31141421727.9504,0.667223333333333
2003 [YR2003],UK,-43637844626.1899,2054422857142.86,85.1303865359719,4.807,494733670054.49,538371514680.679,46069635887.586,0.6124725
2004 [YR2004],UK,-55764002611.4393,2421525082387.4,86.3140373589791,4.594,583174928020.317,638938930631.756,41580064154.0727,0.54618
2005 [YR2005],UK,-54361679069.3337,2543180000000,88.1172554096541,4.835,642253504873.644,696615183942.977,-92742954100.2226,0.549998333333333
2006 [YR2006],UK,-50957936991.0449,2708441582336.71,90.2811170704642,5.411,745310578917.009,796268515908.054,-61381481565.7496,0.543486666666667
2007 [YR2007],UK,-59999761250.0614,3090510204081.63,92.4357314592195,5.342,789226017275.04,849225778525.101,160880316709.816,0.499771666666667
2008 [YR2008],UK,-52184375242.901,2929411764705.88,95.6907712224893,5.705,812380804361.48,864565179604.381,103242148985.75,0.54396625
2009 [YR2009],UK,-30179304571.7579,2412840006231.5,97.5679674496024,7.627,651395677198.318,681574981770.075,-62945021961.1457,0.641919263495996
2010 [YR2010],UK,-38934535218.9848,2485482596184.71,100,7.924,717698118342.308,756632653561.293,-12327098017.1828,0.647179345560165
2011 [YR2011],UK,-21211673603.3351,2663805834828.07,103.856112446828,8.169,836204389287.775,857416062891.11,53821554014.553,0.624140835740495
2012 [YR2012],UK,-26805596415.6061,2707089726614.64,106.528574070649,8.25,828852358562.961,855657954978.568,-34727249184.4595,0.633046988857327
2013 [YR2013],UK,-39792666336.3403,2784853502534.29,108.969853893102,7.704,843744926655.322,883537592991.662,-8222267228.03089,0.639660577613477
2014 [YR2014],UK,-59357376064.4186,3064708247921.43,110.551137414463,6.363,875910618858.82,935267994923.238,-172805792105.635,0.607729626878255
2015 [YR2015],UK,-44424260097.0148,2927911140916.73,110.958017384871,5.517,815254552632.166,859678812729.181,-105510499552.5,0.654545478931426
2016 [YR2016],UK,-50798842587.032,2689106566899.61,112.076937303495,4.868,777697463531.562,828496306118.594,-291904952184.513,0.740634463697084
2017 [YR2017],UK,-35924431558.9293,2680148052335.3,114.943591640466,4.452,829126153982.312,865050585541.241,46685075527.4551,0.776976682344123
2018 [YR2018],UK,-39577861194.8047,2871340347581.79,117.579064176068,4.12,906757163933.295,946335025128.1,-3576693950.22308,0.749531540259847
2019 [YR2019],UK,-39829637744.049,2851407164907.81,119.622711300166,3.613,902153043301.954,941982681046.004,-41289065813.2493,0.783445110011929
2020 [YR2020],UK,15069874926.7177,2697806592293.86,120.806362123174,4.472,802020023159.893,786950148233.175,-140797136683.084,0.779999576697153
2021 [YR2021],UK,-4719358455.44879,3141506156618.7,123.848714629184,4.826,929185007373.324,933904365828.772,155009730131.285,0.727064944688322
2022 [YR2022],UK,-86640536693.7668,3088839763445.02,133.660070279268,3.73,1028830036224.4,1115470572918.17,79991422960.3437,0.811301715827773
2023 [YR2023],UK,-41639090204.9468,3340032380668.04,142.740891437026,3.984,1074780940430.08,1116420030635.03,90030824105.0409,0.804538906734353
1983 [YR1983],CAN,11082294016.2113,341866277182.733,49.8640526617058,12.018,85023053222.2911,73940759206.0798,629011721.263737,1.23241182741667
1984 [YR1984],CAN,12377075316.1164,356718400123.543,52.0105895821408,11.344,99410661593.871,87033586277.7547,-1090877860.16392,1.29506561083333
1985 [YR1985],CAN,8477603565.87652,366186012449.652,54.0712650257584,10.503,100628492290.593,92150888724.7161,2507671552.83406,1.36550739166667
1986 [YR1986],CAN,3697836184.17814,379006836991.724,56.3394390383515,9.593,102043959702.136,98346123517.958,655376615.265964,1.38947105916667
1987 [YR1987],CAN,5199682303.13483,433134238310.709,58.7936462507155,8.82,112338441235.115,107138758931.981,-994078844.821892,1.32598258166667
1988 [YR1988],CAN,4077707643.07547,509380027626.554,61.1619919862622,7.762,132393704408.965,128315996765.89,149516835.750423,1.23070084666667
1989 [YR1989],CAN,363564038.845448,567211993243.243,64.2100744132799,7.547,141583921265.209,141220357226.364,-756426909.082676,1.18397208416667
1990 [YR1990],CAN,1115963784.24025,596075591360.987,67.279622209502,8.131,148951820956.799,147835857172.559,-2351322579.60475,1.16677362666667
1991 [YR1991],CAN,-3204750443.16362,612527712315.615,71.0646823125358,10.316,148572075570.228,151776826013.392,2962324151.88571,1.14572584416667
1992 [YR1992],CAN,-2261089319.66945,594387358318.855,72.123640526617,11.197,154999312291.735,157260401611.404,-1229978110.06882,1.20872292
1993 [YR1993],CAN,63206950.5331268,579053561739.4,73.468803663423,11.377,168099255258.304,168036048307.771,962554678.562878,1.29008788166667
1994 [YR1994],CAN,6647801661.67282,579944346807.264,73.590440755581,10.395,189386047191.058,182738245529.385,1079642881.10374,1.3656734475
1995 [YR1995],CAN,18904083589.1695,605961090061.207,75.1717229536348,9.489,218166364009.087,199262280419.918,2170895576.05244,1.37244541833333
1996 [YR1996],CAN,24629288042.4509,630607994132.747,76.352318259874,9.62,233264869695.22,208635581652.769,3471751714.69391,1.36352163583333
1997 [YR1997],CAN,12429974698.068,654986999855.554,77.5901545506583,9.101,248956640936.29,236526666238.222,11546289244.7879,1.38459802833333
1998 [YR1998],CAN,12048309635.2646,634000000000,78.3629078420148,8.279,252987319296.9,240939009661.635,11369485481.8881,1.48350530166667
1999 [YR1999],CAN,24096639864.5943,678412196271.118,79.722381224957,7.583,283248726032.556,259152086167.962,-7526468527.1575,1.48570481916667
2000 [YR2000],CAN,41604373750.7723,744773415931.587,81.8903835145964,6.829,328227892005.093,286623518254.321,-21653038993.6265,1.485394095
2001 [YR2001],CAN,41819090368.6473,738981792355.372,83.9582140812822,7.219,309750150606.078,267931060237.432,8440763882.98875,1.548839955
2002 [YR2002],CAN,32839901425.9662,760649334098.005,85.8543216943331,7.665,303338703136.931,270498801710.964,4749229277.95075,1.57034283416667
2003 [YR2003],CAN,34073822805.1472,895540646634.787,88.2226674298798,7.574,329143740782.277,295069917977.13,16417567996.3288,1.4010145475
2004 [YR2004],CAN,44846759262.6837,1026690238278.25,89.8611906124785,7.185,381726288257.125,336879528994.442,43370579702.622,1.301281595
2005 [YR2005],CAN,45678110612.9023,1173108598778.68,91.850314825415,6.758,430853577575.864,385175466962.962,1727389338.84794,1.21140513416667
2006 [YR2006],CAN,35204360382.2795,1319264809590.97,93.689181453921,6.484,464880113739.585,429675753357.305,-13950022417.3474,1.13434472583333
2007 [YR2007],CAN,30611671625.0845,1468820407783.26,95.6926159129937,6.156,501654730157.097,471043058532.012,-55310207533.9084,1.07404562166667
2008 [YR2008],CAN,28144247478.8099,1552989690721.65,97.9607899255867,6.284,535719719575.132,507575472096.322,18568974469.1936,1.06708691833333
2009 [YR2009],CAN,-20294599835.7533,1374625142157.29,98.2541499713795,8.46,392141630610.373,412436230446.126,16787996095.9599,1.1415354059127
2010 [YR2010],CAN,-30874997989.8312,1617343367486.26,100,8.178,469288008080.745,500163006070.577,6626667134.17278,1.03011273517598
2011 [YR2011],CAN,-21682664821.6812,1793326630174.52,102.912135088724,7.637,546776957186.172,568459622007.853,11756393310.4902,0.989258158636364
2012 [YR2012],CAN,-34518334882.5215,1828366481521.6,104.471951917573,7.392,554961465410.873,589479800293.395,12879466785.8116,0.999364743593074
2013 [YR2013],CAN,-28982082930.2642,1846597421834.98,105.452203777905,7.143,560082523492.079,589064606422.439,-12563236012.7314,1.03013736373016
2014 [YR2014],CAN,-16320998998.6071,1805749878439.94,107.462793360046,7.023,573305506396.425,589626505395.032,805191688.449753,1.10474713237886
2015 [YR2015],CAN,-38583775871.449,1556508816217.14,108.672009158557,6.945,496137259587.928,534721035459.451,23927632715.3373,1.27878620362554
2016 [YR2016],CAN,-36241676908.6055,1527994741907.43,110.224670864339,7.038,481615868845.151,517857545753.834,33404095512.7527,1.3256151637482
2017 [YR2017],CAN,-36237673595.1705,1649265644244.09,111.984831139096,6.426,518864192859.946,555101866455.117,52829985894.7131,1.29793584646039
2018 [YR2018],CAN,-33732774271.5122,1725329192783.02,114.524899828277,5.837,557656145915.904,591388920187.493,20156533320.4923,1.29581792813534
2019 [YR2019],CAN,-25538102775.714,1743725183672.52,116.757298225529,5.69,564128218247.912,589666321023.626,26965431145.1468,1.32679336266012
2020 [YR2020],CAN,-36499244170.9959,1655684730000.19,117.594447624499,9.657,489086375745.01,525585619916.006,18306166114.2054,1.34115267222386
2021 [YR2021],CAN,117851617.809494,2007472181464.15,121.587006296508,7.527,626676188042.881,626558336424.992,44529088999.5606,1.2538769021268
2022 [YR2022],CAN,3078327810.7168,2161483369422.01,129.858328563251,5.28,731810335375.816,728732007565.1,37342988263.1283,1.30155477474355
2023 [YR2023],CAN,-9809215765.90662,2140085567791.45,134.895535203205,5.415,717677249723.986,726138559866.556,39237439459.954,1.3499086407939
1983 [YR1983],ITA,170696031.837555,559869179791.72,53.7750382727129,7.918,125212890354.372,87735264903.6923,828615354.872067,1518.84833333283
1984 [YR1984],ITA,4408261850.63534,530683779929.445,57.9016285699203,9.533,127385577956.331,93373934610.9911,567836894.032099,1756.96083333183
1985 [YR1985],ITA,4852844476.00931,553138414367.061,61.2779302820743,10.259,132509046255.836,97194747724.9877,673853048.955618,1909.439166664
